		NonSurvivor	Survivor
Age	count	31.0	96.0
Age	mean	66.64516129032258	56.708333333333336
Age	std	11.34768225115236	16.565605882237268
Age	min	50.0	18.0
Age	25%	54.0	47.0
Age	50%	66.0	59.0
Age	75%	77.0	68.0
Age	max	81.0	86.0
MSC	count	31.0	96.0
MSC	mean	0.000984774193548387	0.0017441979166666667
MSC	std	0.0022467510722474705	0.0034085064721873395
MSC	min	0.0	0.0
MSC	25%	0.0	0.0
MSC	50%	0.0	0.0
MSC	75%	0.0	0.00243975
MSC	max	0.007845	0.015354
Bronchial_Epithelial_cells	count	31.0	96.0
Bronchial_Epithelial_cells	mean	0.03481067741935484	0.02787821875
Bronchial_Epithelial_cells	std	0.01788354289542408	0.01865126835263948
Bronchial_Epithelial_cells	min	0.0	0.0
Bronchial_Epithelial_cells	25%	0.0236665	0.0133435
Bronchial_Epithelial_cells	50%	0.032875	0.025868000000000002
Bronchial_Epithelial_cells	75%	0.0459895	0.04106175
Bronchial_Epithelial_cells	max	0.0721	0.073872
Fibroblasts	count	31.0	96.0
Fibroblasts	mean	5.029032258064516e-05	0.0005828854166666667
Fibroblasts	std	0.0002800046658597421	0.001661527007682623
Fibroblasts	min	0.0	0.0
Fibroblasts	25%	0.0	0.0
Fibroblasts	50%	0.0	0.0
Fibroblasts	75%	0.0	0.0
Fibroblasts	max	0.001559	0.009637
Endothelial_cells	count	31.0	96.0
Endothelial_cells	mean	0.021242870967741932	0.015643697916666668
Endothelial_cells	std	0.015018683525844147	0.011557275505858264
Endothelial_cells	min	0.001677	0.0
Endothelial_cells	25%	0.011252499999999999	0.0078
Endothelial_cells	50%	0.018275	0.0141005
Endothelial_cells	75%	0.026694000000000002	0.022825
Endothelial_cells	max	0.064759	0.064137
Adipocytes	count	31.0	96.0
Adipocytes	mean	0.0026759354838709675	0.007102
Adipocytes	std	0.004268434474413962	0.006998868150599329
Adipocytes	min	0.0	0.0
Adipocytes	25%	0.0	6.675e-05
Adipocytes	50%	0.0	0.0060395
Adipocytes	75%	0.00445	0.01189975
Adipocytes	max	0.016832	0.030672
Keratinocytes	count	31.0	96.0
Keratinocytes	mean	0.007959129032258063	0.00646575
Keratinocytes	std	0.006203838272886314	0.005550785581196688
Keratinocytes	min	0.0	0.0
Keratinocytes	25%	0.003506	0.00127525
Keratinocytes	50%	0.00781	0.0049455
Keratinocytes	75%	0.011682000000000001	0.00995575
Keratinocytes	max	0.026675	0.022343
Schwann_cells	count	31.0	96.0
Schwann_cells	mean	0.009829806451612905	0.00827825
Schwann_cells	std	0.007643017468772198	0.009062552642605724
Schwann_cells	min	0.0	0.0
Schwann_cells	25%	0.0035415	0.00013725
Schwann_cells	50%	0.009062	0.006061
Schwann_cells	75%	0.0147505	0.013025
Schwann_cells	max	0.025359	0.042269
Smooth_muscle_cells	count	31.0	96.0
Smooth_muscle_cells	mean	0.014081580645161289	0.01179528125
Smooth_muscle_cells	std	0.01653817625732292	0.01135435002909562
Smooth_muscle_cells	min	0.0	0.0
Smooth_muscle_cells	25%	2.45e-05	0.0035257500000000002
Smooth_muscle_cells	50%	0.004353	0.0091845
Smooth_muscle_cells	75%	0.031823500000000005	0.01586075
Smooth_muscle_cells	max	0.047637	0.047969
CD34+	count	31.0	96.0
