		NonSurvivor	Survivor
Dendritic_cells_(BDCA1+)	min	0.0	0.0
Dendritic_cells_(BDCA1+)	25%	0.0	0.0
Dendritic_cells_(BDCA1+)	50%	0.0	0.0
Dendritic_cells_(BDCA1+)	75%	0.0	0.0
Dendritic_cells_(BDCA1+)	max	0.001576	0.030788
Dendritic_cells_(BDCA3+)	count	56.0	209.0
Dendritic_cells_(BDCA3+)	mean	0.00018126785714285714	0.0004696124401913875
Dendritic_cells_(BDCA3+)	std	0.0013564844333265101	0.004276100730765377
Dendritic_cells_(BDCA3+)	min	0.0	0.0
Dendritic_cells_(BDCA3+)	25%	0.0	0.0
Dendritic_cells_(BDCA3+)	50%	0.0	0.0
Dendritic_cells_(BDCA3+)	75%	0.0	0.0
Dendritic_cells_(BDCA3+)	max	0.010151	0.059548
Dendritic_cells_(plasmacytoid+)	count	56.0	209.0
Dendritic_cells_(plasmacytoid+)	mean	0.01203905357142857	0.013689521531100481
Dendritic_cells_(plasmacytoid+)	std	0.012535098335067227	0.013768111206445268
Dendritic_cells_(plasmacytoid+)	min	0.0	0.0
Dendritic_cells_(plasmacytoid+)	25%	0.0	0.001179
Dendritic_cells_(plasmacytoid+)	50%	0.009832500000000001	0.010922
Dendritic_cells_(plasmacytoid+)	75%	0.01954375	0.02026
Dendritic_cells_(plasmacytoid+)	max	0.044168	0.060899
T_cells_(CD4+)	count	56.0	209.0
T_cells_(CD4+)	mean	0.030777	0.047569392344497606
T_cells_(CD4+)	std	0.035523131097663925	0.04480362321263696
T_cells_(CD4+)	min	0.0	0.0
T_cells_(CD4+)	25%	0.0049885	0.014773
T_cells_(CD4+)	50%	0.017079	0.034788
T_cells_(CD4+)	75%	0.043738	0.071859
T_cells_(CD4+)	max	0.145533	0.212626
T_cells_(CD8+)	count	56.0	209.0
T_cells_(CD8+)	mean	0.009621321428571429	0.014317162679425838
T_cells_(CD8+)	std	0.014888519407562011	0.017547670854438657
T_cells_(CD8+)	min	0.0	0.0
T_cells_(CD8+)	25%	0.0	0.0
T_cells_(CD8+)	50%	0.002842	0.008034
T_cells_(CD8+)	75%	0.016188750000000002	0.020284
T_cells_(CD8+)	max	0.075923	0.084012
T_cells_(gamma-delta)	count	56.0	209.0
T_cells_(gamma-delta)	mean	0.05575198214285714	0.06114755980861244
T_cells_(gamma-delta)	std	0.02821637499460267	0.03207444475413517
T_cells_(gamma-delta)	min	0.017517	0.0
T_cells_(gamma-delta)	25%	0.0377645	0.03834
T_cells_(gamma-delta)	50%	0.048478	0.056077
T_cells_(gamma-delta)	75%	0.07057675	0.080588
T_cells_(gamma-delta)	max	0.144609	0.242865
NK_cells	count	56.0	209.0
NK_cells	mean	0.043904928571428574	0.048313535885167465
NK_cells	std	0.01664264061746446	0.019943942265421007
NK_cells	min	0.008904	0.014587
NK_cells	25%	0.033971	0.034514
NK_cells	50%	0.043412000000000006	0.046349
NK_cells	75%	0.05293025	0.0577
NK_cells	max	0.088523	0.157738
Neutrophils	count	56.0	209.0
Neutrophils	mean	0.33834053571428574	0.31596234928229655
Neutrophils	std	0.06964474418333616	0.07187822469379877
Neutrophils	min	0.196136	0.0
Neutrophils	25%	0.298736	0.268673
Neutrophils	50%	0.3419085	0.323766
Neutrophils	75%	0.38461025	0.362776
Neutrophils	max	0.500199	0.482565
Neutrophils_LPS	count	56.0	209.0
Neutrophils_LPS	mean	0.08689164285714286	0.07826257894736842
Neutrophils_LPS	std	0.023737508473398703	0.025169047023132038
Neutrophils_LPS	min	0.044603	0.030005
Neutrophils_LPS	25%	0.0731565	0.059429
Neutrophils_LPS	50%	0.0801645	0.074714
Neutrophils_LPS	75%	0.1012465	0.093719
Neutrophils_LPS	max	0.141934	0.146984
B_cells	count	56.0	209.0
B_cells	mean	0.0049816607142857145	0.008721339712918661
B_cells	std	0.02096272871488112	0.039968320662268575
B_cells	min	0.0	0.0
B_cells	25%	0.0	0.0
B_cells	50%	0.0	0.0
B_cells	75%	0.0	0.002602
B_cells	max	0.150166	0.529016
SurvivalStatus	count	56.0	209.0
SurvivalStatus	mean	1.0	0.0
SurvivalStatus	std	0.0	0.0
SurvivalStatus	min	1.0	0.0
SurvivalStatus	25%	1.0	0.0
SurvivalStatus	50%	1.0	0.0
SurvivalStatus	75%	1.0	0.0
SurvivalStatus	max	1.0	0.0
Sex	count	56.0	209.0
Sex	mean	0.48214285714285715	0.4449760765550239
Sex	std	0.5042031130613726	0.4981563359045434
Sex	min	0.0	0.0
Sex	25%	0.0	0.0
Sex	50%	0.0	0.0
Sex	75%	1.0	1.0
Sex	max	1.0	1.0
