		NonSurvivor	Survivor
Dendritic_cells_(BDCA1+)	25%	0.0	0.0
Dendritic_cells_(BDCA1+)	50%	0.0	0.0
Dendritic_cells_(BDCA1+)	75%	0.0	0.0
Dendritic_cells_(BDCA1+)	max	0.012912	0.031589
Dendritic_cells_(BDCA3+)	count	289.0	843.0
Dendritic_cells_(BDCA3+)	mean	6.38719723183391e-05	0.0001990071174377224
Dendritic_cells_(BDCA3+)	std	0.0007702963270512628	0.002295647168869768
Dendritic_cells_(BDCA3+)	min	0.0	0.0
Dendritic_cells_(BDCA3+)	25%	0.0	0.0
Dendritic_cells_(BDCA3+)	50%	0.0	0.0
Dendritic_cells_(BDCA3+)	75%	0.0	0.0
Dendritic_cells_(BDCA3+)	max	0.010151	0.059548
Dendritic_cells_(plasmacytoid+)	count	289.0	843.0
Dendritic_cells_(plasmacytoid+)	mean	0.00862330795847751	0.0077196844602609735
Dendritic_cells_(plasmacytoid+)	std	0.011290775469688324	0.011576521554702526
Dendritic_cells_(plasmacytoid+)	min	0.0	0.0
Dendritic_cells_(plasmacytoid+)	25%	0.0	0.0
Dendritic_cells_(plasmacytoid+)	50%	0.002814	0.0
Dendritic_cells_(plasmacytoid+)	75%	0.013582	0.0133605
Dendritic_cells_(plasmacytoid+)	max	0.057761	0.071739
T_cells_(CD4+)	count	289.0	843.0
T_cells_(CD4+)	mean	0.03529396885813149	0.0528592265717675
T_cells_(CD4+)	std	0.03678452531545099	0.045260944059439284
T_cells_(CD4+)	min	0.0	0.0
T_cells_(CD4+)	25%	0.005056	0.0191745
T_cells_(CD4+)	50%	0.025576	0.041456
T_cells_(CD4+)	75%	0.05198	0.07604649999999999
T_cells_(CD4+)	max	0.164081	0.281189
T_cells_(CD8+)	count	289.0	843.0
T_cells_(CD8+)	mean	0.011344934256055364	0.00899853143534994
T_cells_(CD8+)	std	0.019120084551670368	0.01595070936850682
T_cells_(CD8+)	min	0.0	0.0
T_cells_(CD8+)	25%	0.0	0.0
T_cells_(CD8+)	50%	0.0	0.0
T_cells_(CD8+)	75%	0.017208	0.0132195
T_cells_(CD8+)	max	0.10977	0.110457
T_cells_(gamma-delta)	count	289.0	843.0
T_cells_(gamma-delta)	mean	0.04383602422145329	0.044177429418742586
T_cells_(gamma-delta)	std	0.030652449363162103	0.03283242211107777
T_cells_(gamma-delta)	min	0.0	0.0
T_cells_(gamma-delta)	25%	0.021039	0.021106
T_cells_(gamma-delta)	50%	0.039746	0.037971
T_cells_(gamma-delta)	75%	0.057808	0.0613205
T_cells_(gamma-delta)	max	0.144609	0.242865
NK_cells	count	289.0	843.0
NK_cells	mean	0.05574750173010381	0.05492605693950178
NK_cells	std	0.02277977196609426	0.024940469481236665
NK_cells	min	0.002725	0.0
NK_cells	25%	0.040642	0.0383975
NK_cells	50%	0.052956	0.052669
NK_cells	75%	0.067917	0.0678765
NK_cells	max	0.151528	0.200184
Neutrophils	count	289.0	843.0
Neutrophils	mean	0.33932437370242213	0.34659607710557533
Neutrophils	std	0.09887419500581211	0.09084363648731754
Neutrophils	min	0.024559	0.0
Neutrophils	25%	0.279758	0.290329
Neutrophils	50%	0.347958	0.348892
Neutrophils	75%	0.413463	0.4112125
Neutrophils	max	0.561369	0.599915
Neutrophils_LPS	count	289.0	843.0
Neutrophils_LPS	mean	0.09249982006920415	0.08364560735468564
Neutrophils_LPS	std	0.032328362664995225	0.03240860677865943
Neutrophils_LPS	min	0.032796	0.0
Neutrophils_LPS	25%	0.069178	0.0601615
Neutrophils_LPS	50%	0.085631	0.079867
Neutrophils_LPS	75%	0.109661	0.1000485
Neutrophils_LPS	max	0.202996	0.262892
B_cells	count	289.0	843.0
B_cells	mean	0.028577726643598613	0.026105396204033217
B_cells	std	0.03519997095383334	0.03683458060338999
B_cells	min	0.0	0.0
B_cells	25%	0.0	0.0
B_cells	50%	0.019218	0.017449
B_cells	75%	0.040735	0.036291000000000004
B_cells	max	0.161024	0.529016
SurvivalStatus	count	289.0	843.0
SurvivalStatus	mean	1.0	0.0
SurvivalStatus	std	0.0	0.0
SurvivalStatus	min	1.0	0.0
SurvivalStatus	25%	1.0	0.0
SurvivalStatus	50%	1.0	0.0
SurvivalStatus	75%	1.0	0.0
SurvivalStatus	max	1.0	0.0
Sex	count	289.0	843.0
Sex	mean	0.42560553633217996	0.42704626334519574
Sex	std	0.4952921382290101	0.4949427678660046
Sex	min	0.0	0.0
Sex	25%	0.0	0.0
Sex	50%	0.0	0.0
Sex	75%	1.0	1.0
Sex	max	1.0	1.0
