		NonSurvivor	Survivor
Dendritic_cells_(BDCA3+)	mean	0.0	8.439024390243903e-05
Dendritic_cells_(BDCA3+)	std	0.0	0.000540361216134577
Dendritic_cells_(BDCA3+)	min	0.0	0.0
Dendritic_cells_(BDCA3+)	25%	0.0	0.0
Dendritic_cells_(BDCA3+)	50%	0.0	0.0
Dendritic_cells_(BDCA3+)	75%	0.0	0.0
Dendritic_cells_(BDCA3+)	max	0.0	0.00346
Dendritic_cells_(plasmacytoid+)	count	2.0	41.0
Dendritic_cells_(plasmacytoid+)	mean	0.006507000000000001	0.004932170731707318
Dendritic_cells_(plasmacytoid+)	std	0.008592761604978925	0.007043447915979926
Dendritic_cells_(plasmacytoid+)	min	0.000431	0.0
Dendritic_cells_(plasmacytoid+)	25%	0.003469	0.0
Dendritic_cells_(plasmacytoid+)	50%	0.006507000000000001	0.0
Dendritic_cells_(plasmacytoid+)	75%	0.009545000000000001	0.008353
Dendritic_cells_(plasmacytoid+)	max	0.012583	0.022464
T_cells_(CD4+)	count	2.0	41.0
T_cells_(CD4+)	mean	0.0	0.05336395121951219
T_cells_(CD4+)	std	0.0	0.04163311725594855
T_cells_(CD4+)	min	0.0	0.0
T_cells_(CD4+)	25%	0.0	0.018897
T_cells_(CD4+)	50%	0.0	0.046801
T_cells_(CD4+)	75%	0.0	0.07633
T_cells_(CD4+)	max	0.0	0.183173
T_cells_(CD8+)	count	2.0	41.0
T_cells_(CD8+)	mean	0.010779	0.0
T_cells_(CD8+)	std	0.015243807988819592	0.0
T_cells_(CD8+)	min	0.0	0.0
T_cells_(CD8+)	25%	0.0053895	0.0
T_cells_(CD8+)	50%	0.010779	0.0
T_cells_(CD8+)	75%	0.016168500000000002	0.0
T_cells_(CD8+)	max	0.021558	0.0
T_cells_(gamma-delta)	count	2.0	41.0
T_cells_(gamma-delta)	mean	0.003859	0.007075609756097561
T_cells_(gamma-delta)	std	0.005457450137197774	0.011760861762383844
T_cells_(gamma-delta)	min	0.0	0.0
T_cells_(gamma-delta)	25%	0.0019295	0.0
T_cells_(gamma-delta)	50%	0.003859	0.000299
T_cells_(gamma-delta)	75%	0.0057885	0.009639
T_cells_(gamma-delta)	max	0.007718	0.05013
NK_cells	count	2.0	41.0
NK_cells	mean	0.0506575	0.031386219512195127
NK_cells	std	0.019675246186515685	0.01744187774511706
NK_cells	min	0.036745	0.0
NK_cells	25%	0.04370125	0.017964
NK_cells	50%	0.0506575	0.029099
NK_cells	75%	0.057613750000000005	0.039476
NK_cells	max	0.06457	0.065139
Neutrophils	count	2.0	41.0
