		NonSurvivor	Survivor
Age	count	4.0	10.0
Age	mean	56.5	35.0
Age	std	2.886751345948129	8.0
Age	min	54.0	25.0
Age	25%	54.0	28.0
Age	50%	56.5	38.0
Age	75%	59.0	38.0
Age	max	59.0	46.0
MSC	count	4.0	10.0
MSC	mean	0.00117775	0.0010644
MSC	std	0.0014678424926855514	0.0015266163164914023
MSC	min	0.0	0.0
MSC	25%	0.0	0.0
MSC	50%	0.0008395	0.0
MSC	75%	0.00201725	0.00201325
MSC	max	0.003032	0.004265
Bronchial_Epithelial_cells	count	4.0	10.0
Bronchial_Epithelial_cells	mean	0.0026705	0.006896300000000001
Bronchial_Epithelial_cells	std	0.005341	0.010829167014749258
Bronchial_Epithelial_cells	min	0.0	0.0
Bronchial_Epithelial_cells	25%	0.0	0.0
Bronchial_Epithelial_cells	50%	0.0	0.00116
Bronchial_Epithelial_cells	75%	0.0026705	0.0105235
Bronchial_Epithelial_cells	max	0.010682	0.033264
Fibroblasts	count	4.0	10.0
Fibroblasts	mean	0.0001435	0.0002558
Fibroblasts	std	0.000287	0.000697677703368667
Fibroblasts	min	0.0	0.0
Fibroblasts	25%	0.0	0.0
Fibroblasts	50%	0.0	0.0
Fibroblasts	75%	0.0001435	0.0
Fibroblasts	max	0.000574	0.002218
Endothelial_cells	count	4.0	10.0
Endothelial_cells	mean	0.022288500000000003	0.0140428
Endothelial_cells	std	0.0028695059388914542	0.0060156951902687215
Endothelial_cells	min	0.018974	0.004667
Endothelial_cells	25%	0.02038925	0.009656999999999999
Endothelial_cells	50%	0.022527	0.015030499999999999
Endothelial_cells	75%	0.02442625	0.01654325
Endothelial_cells	max	0.025126	0.02461
Adipocytes	count	4.0	10.0
Adipocytes	mean	0.0	0.0
Adipocytes	std	0.0	0.0
Adipocytes	min	0.0	0.0
Adipocytes	25%	0.0	0.0
Adipocytes	50%	0.0	0.0
Adipocytes	75%	0.0	0.0
Adipocytes	max	0.0	0.0
Keratinocytes	count	4.0	10.0
Keratinocytes	mean	0.0	0.0
Keratinocytes	std	0.0	0.0
Keratinocytes	min	0.0	0.0
Keratinocytes	25%	0.0	0.0
Keratinocytes	50%	0.0	0.0
Keratinocytes	75%	0.0	0.0
Keratinocytes	max	0.0	0.0
Schwann_cells	count	4.0	10.0
Schwann_cells	mean	0.0028015	0.0078883
Schwann_cells	std	0.0019464152520295697	0.0048985361089932886
Schwann_cells	min	0.0	0.0
Schwann_cells	25%	0.00224925	0.005386
Schwann_cells	50%	0.0034465	0.008305
Schwann_cells	75%	0.00399875	0.01104875
Schwann_cells	max	0.004313	0.015476
Smooth_muscle_cells	count	4.0	10.0
Smooth_muscle_cells	mean	0.00238825	0.0
Smooth_muscle_cells	std	0.0047765	0.0
Smooth_muscle_cells	min	0.0	0.0
Smooth_muscle_cells	25%	0.0	0.0
Smooth_muscle_cells	50%	0.0	0.0
Smooth_muscle_cells	75%	0.00238825	0.0
Smooth_muscle_cells	max	0.009553	0.0
CD34+	count	4.0	10.0
CD34+	mean	0.0	0.0100652
CD34+	std	0.0	0.026962558256466193
CD34+	min	0.0	0.0
CD34+	25%	0.0	0.0
CD34+	50%	0.0	0.0
CD34+	75%	0.0	0.0
CD34+	max	0.0	0.085614
Platelets	count	4.0	10.0
Platelets	mean	0.04169075	0.0397757
Platelets	std	0.03870309220527476	0.03422991238359936
Platelets	min	0.008354	0.0
Platelets	25%	0.0220055	0.00812725
Platelets	50%	0.0305145	0.039668
Platelets	75%	0.050199749999999994	0.05451
Platelets	max	0.09738	0.098348
Monocytes_CD14+CD16-	count	4.0	10.0
Monocytes_CD14+CD16-	mean	0.02278875	0.041842000000000004
Monocytes_CD14+CD16-	std	0.01779291307187593	0.04423766070015708
Monocytes_CD14+CD16-	min	0.003028	0.0
Monocytes_CD14+CD16-	25%	0.01088275	0.0
Monocytes_CD14+CD16-	50%	0.0228795	0.03891
Monocytes_CD14+CD16-	75%	0.034785500000000004	0.06845000000000001
Monocytes_CD14+CD16-	max	0.042368	0.121379
Monocytes_CD16+CD14-	count	4.0	10.0
