		NonSurvivor	Survivor
Age	count	52.0	54.0
Age	mean	69.1923076923077	68.96296296296296
Age	std	14.26780066256206	14.578302516505595
Age	min	34.0	31.0
Age	25%	63.0	63.5
Age	50%	73.5	72.5
Age	75%	80.0	79.0
Age	max	91.0	91.0
MSC	count	52.0	54.0
MSC	mean	0.00038951923076923083	0.0005983148148148149
MSC	std	0.0012507244722580904	0.0014892250210000524
MSC	min	0.0	0.0
MSC	25%	0.0	0.0
MSC	50%	0.0	0.0
MSC	75%	0.0	0.0
MSC	max	0.006913	0.006604
Bronchial_Epithelial_cells	count	52.0	54.0
Bronchial_Epithelial_cells	mean	0.01405926923076923	0.00955287037037037
Bronchial_Epithelial_cells	std	0.014193435518169885	0.013801605353775684
Bronchial_Epithelial_cells	min	0.0	0.0
Bronchial_Epithelial_cells	25%	0.0006415	0.0
Bronchial_Epithelial_cells	50%	0.0101825	0.00351
Bronchial_Epithelial_cells	75%	0.0249865	0.01135425
Bronchial_Epithelial_cells	max	0.059928	0.052902
Fibroblasts	count	52.0	54.0
Fibroblasts	mean	0.0002877884615384615	2.0185185185185187e-06
Fibroblasts	std	0.0016964897246215809	1.4833021220187027e-05
Fibroblasts	min	0.0	0.0
Fibroblasts	25%	0.0	0.0
Fibroblasts	50%	0.0	0.0
Fibroblasts	75%	0.0	0.0
Fibroblasts	max	0.011914	0.000109
Endothelial_cells	count	52.0	54.0
Endothelial_cells	mean	0.027119442307692306	0.021990666666666662
Endothelial_cells	std	0.013607477405806982	0.0104831188863289
Endothelial_cells	min	0.000644	0.002452
Endothelial_cells	25%	0.01805025	0.015573
Endothelial_cells	50%	0.025432	0.0204325
Endothelial_cells	75%	0.03196475	0.02936975
Endothelial_cells	max	0.064659	0.048274
Adipocytes	count	52.0	54.0
Adipocytes	mean	0.024514326923076923	0.023766518518518517
Adipocytes	std	0.010750758860075703	0.008770828468733867
Adipocytes	min	0.0	0.0
Adipocytes	25%	0.01891475	0.01720775
Adipocytes	50%	0.0264695	0.0238095
Adipocytes	75%	0.03186525	0.030493
Adipocytes	max	0.045163	0.042203
Keratinocytes	count	52.0	54.0
Keratinocytes	mean	0.0	4.162962962962963e-05
Keratinocytes	std	0.0	0.0003059140523209213
Keratinocytes	min	0.0	0.0
Keratinocytes	25%	0.0	0.0
Keratinocytes	50%	0.0	0.0
Keratinocytes	75%	0.0	0.0
Keratinocytes	max	0.0	0.002248
Schwann_cells	count	52.0	54.0
Schwann_cells	mean	0.0013578653846153847	0.0017862592592592594
Schwann_cells	std	0.002908924934686529	0.0036324953489052544
Schwann_cells	min	0.0	0.0
Schwann_cells	25%	0.0	0.0
Schwann_cells	50%	0.0	0.0
Schwann_cells	75%	0.00037375	0.0017155
Schwann_cells	max	0.011658	0.015659
Smooth_muscle_cells	count	52.0	54.0
Smooth_muscle_cells	mean	0.002335423076923077	0.0021395370370370374
Smooth_muscle_cells	std	0.00401367410454514	0.0033657577279875683
Smooth_muscle_cells	min	0.0	0.0
Smooth_muscle_cells	25%	0.0	0.0
Smooth_muscle_cells	50%	0.0	0.0
Smooth_muscle_cells	75%	0.0044297500000000005	0.0027612500000000002
Smooth_muscle_cells	max	0.019837	0.017441
CD34+	count	52.0	54.0
CD34+	mean	0.004853884615384616	0.009618444444444443
CD34+	std	0.013497045844755992	0.027249846251715587
CD34+	min	0.0	0.0
CD34+	25%	0.0	0.0
CD34+	50%	0.0	0.0
CD34+	75%	0.0	0.0
CD34+	max	0.061014	0.115035
Platelets	count	52.0	54.0
Platelets	mean	0.07701686538461537	0.07040720370370371
Platelets	std	0.0542432834747195	0.03150500165584951
Platelets	min	0.0	0.020918
Platelets	25%	0.048953	0.050015000000000004
Platelets	50%	0.0734215	0.065224
Platelets	75%	0.100551	0.08748075
Platelets	max	0.301728	0.175422
Monocytes_CD14+CD16-	count	52.0	54.0
Monocytes_CD14+CD16-	mean	0.24602707692307696	0.24572272222222225
Monocytes_CD14+CD16-	std	0.06666760025586882	0.0821205381741725
Monocytes_CD14+CD16-	min	0.139655	0.002672
Monocytes_CD14+CD16-	25%	0.20226725	0.18440099999999998
Monocytes_CD14+CD16-	50%	0.2423635	0.246351
Monocytes_CD14+CD16-	75%	0.27743425	0.30562599999999995
Monocytes_CD14+CD16-	max	0.404812	0.427611
Monocytes_CD16+CD14-	count	52.0	54.0
Monocytes_CD16+CD14-	mean	0.004728326923076924	0.0042621296296296305
Monocytes_CD16+CD14-	std	0.011956263024811582	0.009609640391532724
Monocytes_CD16+CD14-	min	0.0	0.0
Monocytes_CD16+CD14-	25%	0.0	0.0
Monocytes_CD16+CD14-	50%	0.0	0.0
Monocytes_CD16+CD14-	75%	0.0	0.0
Monocytes_CD16+CD14-	max	0.05771	0.044855
Macrophage	count	52.0	54.0
Macrophage	mean	0.0055962500000000005	0.002483074074074074
Macrophage	std	0.011493489901363516	0.007780250485495375
Macrophage	min	0.0	0.0
Macrophage	25%	0.0	0.0
Macrophage	50%	0.0	0.0
Macrophage	75%	0.0047729999999999995	0.0
Macrophage	max	0.043863	0.042696
M1(IFNg)	count	52.0	54.0
M1(IFNg)	mean	0.014640596153846155	0.011766629629629629
M1(IFNg)	std	0.027122356179286183	0.015455948765365267
M1(IFNg)	min	0.0	0.0
M1(IFNg)	25%	0.0	0.0
M1(IFNg)	50%	0.0064175	0.006651499999999999
M1(IFNg)	75%	0.01682825	0.016982
M1(IFNg)	max	0.133401	0.064949
M2(IL-4)	count	52.0	54.0
M2(IL-4)	mean	0.00011705769230769232	0.0006822962962962962
M2(IL-4)	std	0.0004956640391874216	0.0037862159764052057
M2(IL-4)	min	0.0	0.0
M2(IL-4)	25%	0.0	0.0
M2(IL-4)	50%	0.0	0.0
M2(IL-4)	75%	0.0	0.0
M2(IL-4)	max	0.003037	0.027351
M(IFNa)	count	52.0	54.0
M(IFNa)	mean	0.0025275192307692308	0.0006941851851851852
M(IFNa)	std	0.010882408543401837	0.0036548974901045596
M(IFNa)	min	0.0	0.0
M(IFNa)	25%	0.0	0.0
M(IFNa)	50%	0.0	0.0
M(IFNa)	75%	0.0	0.0
M(IFNa)	max	0.075044	0.022706
Dendritic_cells_(BDCA1+)	count	52.0	54.0
Dendritic_cells_(BDCA1+)	mean	0.00025096153846153844	7.037037037037036e-05
Dendritic_cells_(BDCA1+)	std	0.0017902992406412745	0.0005171145012542263
Dendritic_cells_(BDCA1+)	min	0.0	0.0
Dendritic_cells_(BDCA1+)	25%	0.0	0.0
Dendritic_cells_(BDCA1+)	50%	0.0	0.0
Dendritic_cells_(BDCA1+)	75%	0.0	0.0
Dendritic_cells_(BDCA1+)	max	0.012912	0.0038
Dendritic_cells_(BDCA3+)	count	52.0	54.0
Dendritic_cells_(BDCA3+)	mean	0.0	0.00026775925925925925
Dendritic_cells_(BDCA3+)	std	0.0	0.0017884056453364096
Dendritic_cells_(BDCA3+)	min	0.0	0.0
Dendritic_cells_(BDCA3+)	25%	0.0	0.0
Dendritic_cells_(BDCA3+)	50%	0.0	0.0
Dendritic_cells_(BDCA3+)	75%	0.0	0.0
Dendritic_cells_(BDCA3+)	max	0.0	0.013097
Dendritic_cells_(plasmacytoid+)	count	52.0	54.0
Dendritic_cells_(plasmacytoid+)	mean	0.009901884615384614	0.012673092592592592
Dendritic_cells_(plasmacytoid+)	std	0.012382414824596458	0.014184381651673133
Dendritic_cells_(plasmacytoid+)	min	0.0	0.0
Dendritic_cells_(plasmacytoid+)	25%	0.0	0.00055625
Dendritic_cells_(plasmacytoid+)	50%	0.005792	0.0099075
Dendritic_cells_(plasmacytoid+)	75%	0.0180615	0.01765
Dendritic_cells_(plasmacytoid+)	max	0.057761	0.067897
T_cells_(CD4+)	count	52.0	54.0
T_cells_(CD4+)	mean	0.02779788461538462	0.038701148148148144
T_cells_(CD4+)	std	0.028615062448430924	0.032554886136705576
T_cells_(CD4+)	min	0.0	0.0
T_cells_(CD4+)	25%	0.0	0.013685
T_cells_(CD4+)	50%	0.020818000000000003	0.03482300000000001
T_cells_(CD4+)	75%	0.0509515	0.0612225
T_cells_(CD4+)	max	0.11346	0.151041
T_cells_(CD8+)	count	52.0	54.0
T_cells_(CD8+)	mean	0.012313653846153847	0.011191833333333333
T_cells_(CD8+)	std	0.015226071527230453	0.013026742732432428
T_cells_(CD8+)	min	0.0	0.0
T_cells_(CD8+)	25%	0.0	0.0
T_cells_(CD8+)	50%	0.006399	0.008427
T_cells_(CD8+)	75%	0.0193695	0.018694000000000002
T_cells_(CD8+)	max	0.055749	0.061841
T_cells_(gamma-delta)	count	52.0	54.0
T_cells_(gamma-delta)	mean	0.054895211538461545	0.05883838888888889
T_cells_(gamma-delta)	std	0.02470024657361767	0.02709162327920783
T_cells_(gamma-delta)	min	0.017651	0.00371
T_cells_(gamma-delta)	25%	0.0356315	0.041397
T_cells_(gamma-delta)	50%	0.0528365	0.0539705
T_cells_(gamma-delta)	75%	0.06916075	0.075125
T_cells_(gamma-delta)	max	0.126781	0.142201
NK_cells	count	52.0	54.0
NK_cells	mean	0.050985230769230755	0.05269629629629629
NK_cells	std	0.015018953601334371	0.02040091398306738
NK_cells	min	0.01333	0.01687
NK_cells	25%	0.0435765	0.04071375
NK_cells	50%	0.048545000000000005	0.0531445
NK_cells	75%	0.05976875	0.05978575
NK_cells	max	0.081531	0.148611
Neutrophils	count	52.0	54.0
Neutrophils	mean	0.31708748076923077	0.315054425925926
Neutrophils	std	0.07625248257957666	0.06489556861476778
Neutrophils	min	0.151821	0.16502
Neutrophils	25%	0.261919	0.26655175000000003
Neutrophils	50%	0.3063175	0.31793550000000004
Neutrophils	75%	0.38118925	0.367163
Neutrophils	max	0.462069	0.467278
Neutrophils_LPS	count	52.0	54.0
Neutrophils_LPS	mean	0.09247905769230771	0.08288005555555555
Neutrophils_LPS	std	0.02763480877970253	0.02261426757970876
Neutrophils_LPS	min	0.053146	0.037593
Neutrophils_LPS	25%	0.070998	0.06759775
Neutrophils_LPS	50%	0.088822	0.0810835
Neutrophils_LPS	75%	0.10527925	0.09259700000000001
Neutrophils_LPS	max	0.168224	0.136917
B_cells	count	52.0	54.0
B_cells	mean	0.008717480769230769	0.022111925925925927
B_cells	std	0.019147763090046944	0.056470891036420175
B_cells	min	0.0	0.0
B_cells	25%	0.0	0.0
B_cells	50%	0.0	4e-05
B_cells	75%	0.0095865	0.025877249999999997
B_cells	max	0.101038	0.368385
SurvivalStatus	count	52.0	54.0
SurvivalStatus	mean	1.0	0.0
SurvivalStatus	std	0.0	0.0
SurvivalStatus	min	1.0	0.0
SurvivalStatus	25%	1.0	0.0
SurvivalStatus	50%	1.0	0.0
SurvivalStatus	75%	1.0	0.0
SurvivalStatus	max	1.0	0.0
Sex	count	52.0	54.0
Sex	mean	0.25	0.25925925925925924
Sex	std	0.4372373160976031	0.4423430404998887
Sex	min	0.0	0.0
Sex	25%	0.0	0.0
Sex	50%	0.0	0.0
Sex	75%	0.25	0.75
Sex	max	1.0	1.0
