		NonSurvivor	Survivor
Age	count	114.0	365.0
Age	mean	64.48245614035088	59.85205479452055
Age	std	13.560896709941614	15.005311418501787
Age	min	19.0	17.0
Age	25%	56.25	50.0
Age	50%	66.5	63.0
Age	75%	73.75	71.0
Age	max	89.0	86.0
MSC	count	114.0	365.0
MSC	mean	0.00019369298245614034	7.478904109589041e-05
MSC	std	0.0009757560728766324	0.0004482436075926844
MSC	min	0.0	0.0
MSC	25%	0.0	0.0
MSC	50%	0.0	0.0
MSC	75%	0.0	0.0
MSC	max	0.007722	0.005929
Bronchial_Epithelial_cells	count	114.0	365.0
Bronchial_Epithelial_cells	mean	0.04147280701754385	0.033812021917808216
Bronchial_Epithelial_cells	std	0.019463508293603483	0.01606978188766421
Bronchial_Epithelial_cells	min	0.0	0.0
Bronchial_Epithelial_cells	25%	0.028914500000000003	0.022077
Bronchial_Epithelial_cells	50%	0.039719500000000005	0.033138
Bronchial_Epithelial_cells	75%	0.05376325	0.044597
Bronchial_Epithelial_cells	max	0.116517	0.087975
Fibroblasts	count	114.0	365.0
Fibroblasts	mean	0.0006042456140350877	0.0003220739726027397
Fibroblasts	std	0.0019763996611403814	0.0015175928914150398
Fibroblasts	min	0.0	0.0
Fibroblasts	25%	0.0	0.0
Fibroblasts	50%	0.0	0.0
Fibroblasts	75%	0.0	0.0
Fibroblasts	max	0.011434	0.011657
Endothelial_cells	count	114.0	365.0
Endothelial_cells	mean	0.014548307017543859	0.011799616438356166
Endothelial_cells	std	0.007945631212501815	0.007490942445420879
Endothelial_cells	min	0.0	0.0
Endothelial_cells	25%	0.00956725	0.006362
Endothelial_cells	50%	0.013350500000000001	0.010989
Endothelial_cells	75%	0.0189655	0.016303
Endothelial_cells	max	0.03845	0.035978
Adipocytes	count	114.0	365.0
Adipocytes	mean	0.0006464649122807019	0.00038593972602739724
Adipocytes	std	0.002128730358978288	0.0014536319638983443
Adipocytes	min	0.0	0.0
Adipocytes	25%	0.0	0.0
Adipocytes	50%	0.0	0.0
Adipocytes	75%	0.0	0.0
Adipocytes	max	0.016174	0.011725
Keratinocytes	count	114.0	365.0
Keratinocytes	mean	0.0022157982456140353	0.0020457205479452057
Keratinocytes	std	0.0036055631896677607	0.0038094112656580905
Keratinocytes	min	0.0	0.0
Keratinocytes	25%	0.0	0.0
Keratinocytes	50%	0.0	0.0
Keratinocytes	75%	0.0035495	0.003008
Keratinocytes	max	0.015021	0.023572
Schwann_cells	count	114.0	365.0
Schwann_cells	mean	0.00015517543859649123	0.00016706027397260276
Schwann_cells	std	0.0007836073859533246	0.0010081815594408716
Schwann_cells	min	0.0	0.0
Schwann_cells	25%	0.0	0.0
Schwann_cells	50%	0.0	0.0
Schwann_cells	75%	0.0	0.0
Schwann_cells	max	0.006795	0.012598
Smooth_muscle_cells	count	114.0	365.0
Smooth_muscle_cells	mean	0.0004853771929824562	0.00044942739726027396
Smooth_muscle_cells	std	0.0014832474082787073	0.001769408401572407
Smooth_muscle_cells	min	0.0	0.0
Smooth_muscle_cells	25%	0.0	0.0
Smooth_muscle_cells	50%	0.0	0.0
Smooth_muscle_cells	75%	0.0	0.0
Smooth_muscle_cells	max	0.007781	0.016774
CD34+	count	114.0	365.0
CD34+	mean	0.012892017543859649	0.004226460273972602
CD34+	std	0.031176828906897425	0.011030082320470553
CD34+	min	0.0	0.0
CD34+	25%	0.0	0.0
CD34+	50%	0.0	0.0
CD34+	75%	0.011478	0.0
CD34+	max	0.215136	0.091686
Platelets	count	114.0	365.0
Platelets	mean	0.04499941228070175	0.0429333397260274
Platelets	std	0.041790692792808025	0.03783927189332845
Platelets	min	0.0	0.0
Platelets	25%	0.016920750000000002	0.017705
Platelets	50%	0.035634	0.037026
Platelets	75%	0.0557915	0.05618
Platelets	max	0.240872	0.343873
Monocytes_CD14+CD16-	count	114.0	365.0
Monocytes_CD14+CD16-	mean	0.19791699999999998	0.2079673753424658
Monocytes_CD14+CD16-	std	0.057844753722998396	0.06232562052510589
Monocytes_CD14+CD16-	min	0.054624	0.034921
Monocytes_CD14+CD16-	25%	0.16269325	0.16975
Monocytes_CD14+CD16-	50%	0.1933745	0.210986
Monocytes_CD14+CD16-	75%	0.23233125	0.246779
Monocytes_CD14+CD16-	max	0.371523	0.372261
Monocytes_CD16+CD14-	count	114.0	365.0
Monocytes_CD16+CD14-	mean	0.0	0.0004232630136986301
Monocytes_CD16+CD14-	std	0.0	0.003674187890664885
