		NonSurvivor	Survivor
Age	count	30.0	68.0
Age	mean	59.8	62.85294117647059
Age	std	13.026233477897195	16.091403754876644
Age	min	45.0	25.0
Age	25%	47.25	55.0
Age	50%	55.0	66.0
Age	75%	69.25	76.0
Age	max	85.0	85.0
MSC	count	30.0	68.0
MSC	mean	0.0	0.0
MSC	std	0.0	0.0
MSC	min	0.0	0.0
MSC	25%	0.0	0.0
MSC	50%	0.0	0.0
MSC	75%	0.0	0.0
MSC	max	0.0	0.0
Bronchial_Epithelial_cells	count	30.0	68.0
Bronchial_Epithelial_cells	mean	0.018569600000000002	0.01475219117647059
Bronchial_Epithelial_cells	std	0.012657683599709105	0.010631697566334856
Bronchial_Epithelial_cells	min	0.0	0.0
Bronchial_Epithelial_cells	25%	0.0098345	0.0054252499999999995
Bronchial_Epithelial_cells	50%	0.017487	0.0145715
Bronchial_Epithelial_cells	75%	0.02546825	0.022171
Bronchial_Epithelial_cells	max	0.048377	0.039793
Fibroblasts	count	30.0	68.0
Fibroblasts	mean	0.0	0.0
Fibroblasts	std	0.0	0.0
Fibroblasts	min	0.0	0.0
Fibroblasts	25%	0.0	0.0
Fibroblasts	50%	0.0	0.0
Fibroblasts	75%	0.0	0.0
Fibroblasts	max	0.0	0.0
Endothelial_cells	count	30.0	68.0
Endothelial_cells	mean	0.016881	0.011054500000000002
Endothelial_cells	std	0.008172979636456402	0.006629174142076082
Endothelial_cells	min	0.0	0.0
Endothelial_cells	25%	0.0137485	0.00611975
Endothelial_cells	50%	0.0173425	0.0107745
Endothelial_cells	75%	0.02132075	0.015859250000000002
Endothelial_cells	max	0.03158	0.027265
Adipocytes	count	30.0	68.0
Adipocytes	mean	0.0	0.00013719117647058825
Adipocytes	std	0.0	0.0006611217120394237
Adipocytes	min	0.0	0.0
Adipocytes	25%	0.0	0.0
Adipocytes	50%	0.0	0.0
Adipocytes	75%	0.0	0.0
Adipocytes	max	0.0	0.004406
Keratinocytes	count	30.0	68.0
Keratinocytes	mean	0.0	5.147058823529412e-05
Keratinocytes	std	0.0	0.00042443734381358275
Keratinocytes	min	0.0	0.0
Keratinocytes	25%	0.0	0.0
Keratinocytes	50%	0.0	0.0
Keratinocytes	75%	0.0	0.0
Keratinocytes	max	0.0	0.0035
Schwann_cells	count	30.0	68.0
Schwann_cells	mean	0.0007082000000000001	0.00036992647058823523
Schwann_cells	std	0.0021882271898691777	0.0013940712664728685
Schwann_cells	min	0.0	0.0
Schwann_cells	25%	0.0	0.0
Schwann_cells	50%	0.0	0.0
Schwann_cells	75%	0.0	0.0
Schwann_cells	max	0.010568	0.007741
Smooth_muscle_cells	count	30.0	68.0
Smooth_muscle_cells	mean	0.0	0.0
Smooth_muscle_cells	std	0.0	0.0
Smooth_muscle_cells	min	0.0	0.0
Smooth_muscle_cells	25%	0.0	0.0
Smooth_muscle_cells	50%	0.0	0.0
Smooth_muscle_cells	75%	0.0	0.0
Smooth_muscle_cells	max	0.0	0.0
CD34+	count	30.0	68.0
CD34+	mean	0.013575700000000001	0.0014641176470588236
CD34+	std	0.024637079236806657	0.0035486862674458225
CD34+	min	0.0	0.0
CD34+	25%	0.0	0.0
CD34+	50%	0.0020605	0.0
CD34+	75%	0.013445499999999999	0.0
CD34+	max	0.096781	0.014026
Platelets	count	30.0	68.0
Platelets	mean	0.03735186666666667	0.030655735294117647
Platelets	std	0.05256659222602765	0.0283874552410605
Platelets	min	0.0	0.0
Platelets	25%	0.0098075	0.01184675
Platelets	50%	0.032286999999999996	0.024899499999999998
Platelets	75%	0.04268475	0.04097675
Platelets	max	0.294863	0.151999
Monocytes_CD14+CD16-	count	30.0	68.0
Monocytes_CD14+CD16-	mean	0.1487007666666667	0.17846376470588235
Monocytes_CD14+CD16-	std	0.05977511004947157	0.047789589751955686
Monocytes_CD14+CD16-	min	0.018299	0.042486
Monocytes_CD14+CD16-	25%	0.119275	0.15550175
Monocytes_CD14+CD16-	50%	0.148627	0.177557
Monocytes_CD14+CD16-	75%	0.17175500000000002	0.207526
Monocytes_CD14+CD16-	max	0.299239	0.282236
Monocytes_CD16+CD14-	count	30.0	68.0
Monocytes_CD16+CD14-	mean	0.0019935666666666668	0.005703544117647058
Monocytes_CD16+CD14-	std	0.007600887324259711	0.01575648599398424
Monocytes_CD16+CD14-	min	0.0	0.0
Monocytes_CD16+CD14-	25%	0.0	0.0
Monocytes_CD16+CD14-	50%	0.0	0.0
Monocytes_CD16+CD14-	75%	0.0	4.8e-05
Monocytes_CD16+CD14-	max	0.039722	0.083349
Macrophage	count	30.0	68.0
